# symbol: AAPL
timeZone=America/New_York
date,time,open,high,low,close,volume
20140827,040000,101.0,102.57,100.7,102.13,46498672
20140828,040000,101.59,102.78,101.56,102.25,67732368
20140829,040000,102.88,102.9,102.2,102.5,40519388
20140902,040000,103.04,103.74,102.72,103.3,52537636
20140903,040000,103.2,103.2,98.58,98.94,124185440
20140904,040000,99.0,100.09,97.79,98.12,84880936
20140905,040000,98.89,99.39,98.31,98.97,56844076
20140908,040000,99.3,99.31,98.05,98.349,45776364
20140909,040000,99.11,103.08,96.14,97.99,188412192
20140910,040000,98.01,101.11,97.76,101.0,99810480
20140911,040000,100.45,101.44,99.62,101.43,61443800
20140912,040000,101.22,102.19,101.08,101.66,61515592
20140915,040000,102.81,103.05,101.44,101.6,60734376
20140916,040000,99.85,101.26,98.89,100.86,66398552
20140917,040000,101.32,101.8,100.592,101.58,60392848
20140918,040000,101.9,102.35,101.56,101.79,36506384
20140919,040000,102.29,102.35,100.5,101.03,63121488
20140922,040000,101.8,102.14,100.58,101.069,51721448
20140923,040000,100.65,102.94,100.54,102.64,62178720
20140924,040000,102.1,102.85,101.2,101.73,58831892
20140925,040000,100.48,100.71,97.72,97.87,98954016
20140926,040000,98.55,100.75,98.4,100.75,61642312
20140929,040000,98.7,100.435,98.63,100.11,48012300
20140930,040000,100.77,101.54,100.53,100.75,53079724
20141001,040000,100.58,100.69,98.7,99.18,50529540
20141002,040000,99.36,100.22,98.04,99.9,46797628
20141003,040000,99.42,100.21,99.04,99.62,42957600
20141006,040000,99.94,100.65,99.42,99.62,36547528
20141007,040000,99.41,100.12,98.73,98.75,41491632
20141008,040000,98.76,101.11,98.31,100.8,56629512
20141009,040000,101.54,102.38,100.61,101.02,75812464
20141010,040000,100.73,102.03,100.3,100.73,65351644
20141013,040000,101.33,101.78,99.81,99.81,52801176
20141014,040000,100.34,100.52,98.57,98.75,62129532
20141015,040000,97.97,99.15,95.18,97.54,98485592
20141016,040000,95.52,97.72,95.41,96.4313,71791312
20141017,040000,97.5,99.0,96.81,97.67,67225656
20141020,040000,98.37,99.96,98.22,99.76,65381064
20141021,040000,103.0,103.02,101.27,102.47,92979912
20141022,040000,102.89,104.11,102.6,102.99,66511908
20141023,040000,103.95,105.051,103.63,104.83,69483392
20141024,040000,105.12,105.49,104.53,105.22,44146816
20141027,040000,104.9,105.48,104.7,105.11,33175932
20141028,040000,105.39,106.74,105.35,106.74,44264524
20141029,040000,106.73,107.37,106.36,107.34,49737064
20141030,040000,106.89,107.35,105.9,106.98,40295700
20141031,040000,108.04,108.04,107.21,108.0,43162728
20141103,050000,108.16,110.3,108.01,109.4,51750364
20141104,050000,109.36,109.49,107.72,108.6,39143808
20141105,050000,109.1,109.3,108.125,108.86,34448672
20141106,050000,108.6,108.79,107.8,108.7,33673836
20141107,050000,108.72,109.32,108.55,109.01,31024694
20141110,050000,109.0,109.33,108.67,108.83,26855424
20141111,050000,108.75,109.75,108.4,109.7,26858688
20141112,050000,109.42,111.43,109.37,111.25,45398568
20141113,050000,111.81,113.45,111.6,112.82,59121808
20141114,050000,113.16,114.19,113.05,114.18,42423504
20141117,050000,114.31,117.28,113.3,113.99,46162600
20141118,050000,113.99,115.69,113.89,115.47,42303460
20141119,050000,115.5,115.74,113.8,114.66,41312252
20141120,050000,114.95,116.86,114.85,116.31,42440864
20141121,050000,117.51,117.57,116.03,116.47,56262164
20141124,050000,116.85,118.77,116.62,118.625,46009972
20141125,050000,119.1,119.75,117.45,117.61,66560448
20141126,050000,117.95,119.1,117.83,119.0,39978152
20141128,050000,119.36,119.4,118.05,118.93,24031744
20141201,050000,118.81,119.25,111.27,115.07,83036376
20141202,050000,113.5,115.75,112.75,114.63,58194800
20141203,050000,115.75,116.35,115.11,115.93,41423356
20141204,050000,115.77,117.2,115.29,115.49,41240400
20141205,050000,115.99,116.08,114.64,115.0,37514824
20141208,050000,114.23,114.648,111.62,112.4,56582168
20141209,050000,110.19,114.3,109.35,114.12,58289320
20141210,050000,114.45,114.85,111.54,111.99,43812408
20141211,050000,112.3,113.8,111.34,111.62,40638048
20141212,050000,110.46,111.87,109.58,109.73,54816464
20141215,050000,110.7,111.6,106.35,108.225,66817492
20141216,050000,106.39,110.16,106.26,106.69,59690868
20141217,050000,107.12,109.84,106.82,109.41,49213664
20141218,050000,111.87,112.65,110.66,112.65,57254680
20141219,050000,112.26,113.24,111.66,111.78,76623912
20141222,050000,112.16,113.49,111.97,112.94,40846444
20141223,050000,113.23,113.33,112.46,112.54,24962876
20141224,050000,112.55,112.71,112.01,112.01,14243078
20141226,050000,112.05,114.52,112.01,113.99,33376332
20141229,050000,113.79,114.77,113.7,113.91,27402460
20141230,050000,113.64,113.92,112.11,112.52,28655888
20141231,050000,112.8,113.13,110.21,110.38,40892152
20150102,050000,111.41,111.44,107.35,109.33,53096192
20150105,050000,108.17,108.65,105.41,106.25,61065976
20150106,050000,106.5,107.43,104.63,106.26,65030836
20150107,050000,107.29,108.2,106.695,107.75,39408176
20150108,050000,109.44,112.15,108.7,111.89,56657508
20150109,050000,112.76,113.25,110.21,112.01,53452524
20150112,050000,112.46,112.63,108.8,109.25,49297136
20150113,050000,111.5,112.8,108.91,110.22,66704576
20150114,050000,109.0,110.49,108.5,109.8,48197984
20150115,050000,109.96,110.06,106.66,106.82,58558208
20150116,050000,107.03,107.58,105.2,105.99,76790480
20150120,050000,107.98,108.967,106.5,108.72,47700888
20150121,050000,108.87,111.06,108.27,109.55,47923736
20150122,050000,110.28,112.47,109.72,112.4,49684704
20150123,050000,112.32,113.75,111.53,112.98,43727584
20150126,050000,113.65,114.363,112.8,113.1,51885912
20150127,050000,112.43,112.48,109.03,109.14,77719056
20150128,050000,117.56,118.12,115.31,115.31,144187216
20150129,050000,116.36,119.19,115.56,118.9,83729464
20150130,050000,118.28,120.0,116.85,117.16,80677408
20150202,050000,118.03,119.17,116.08,118.63,62078736
20150203,050000,118.27,119.09,117.61,118.65,51573568
20150204,050000,118.52,120.51,118.309,119.56,69707152
20150205,050000,120.05,120.23,119.25,119.94,42049716
20150206,050000,120.1,120.25,118.45,118.93,43327288
20150209,050000,118.52,119.84,118.43,119.72,37748448
20150210,050000,120.26,122.15,120.16,122.02,61615408
20150211,050000,122.82,124.92,122.5,123.4,73385152
20150212,050000,125.98,127.48,125.57,126.46,73386944
20150213,050000,127.27,127.28,125.65,127.08,51458516
20150217,050000,127.47,128.88,126.92,127.83,62947444
20150218,050000,127.63,128.78,127.45,128.715,44050160
20150219,050000,128.45,129.03,128.33,128.45,36762768
20150220,050000,128.65,129.5,128.05,129.495,48442704
20150223,050000,130.0,133.0,129.66,133.0,67810008
20150224,050000,132.75,133.6,131.17,132.17,68916480
20150225,050000,131.6,131.6,128.15,128.79,73773016
20150226,050000,128.76,130.87,126.61,130.415,87756128
20150227,050000,130.05,130.57,128.24,128.46,61180708
20150302,050000,129.11,130.28,128.3,129.09,47911464
